name,state,country
Bogotá, Bogotá D.C., Colombia
Medellín, Antioquia, Colombia
Cali, Valle del Cauca, Colombia
Barranquilla, Atlántico, Colombia
Cartagena, Bolívar, Colombia
Santa Marta, Magdalena, Colombia
Pereira, Risaralda, Colombia
Manizales, Caldas, Colombia
Bucaramanga, Santander, Colombia
Villavicencio, Meta, Colombia
Pasto, Nariño, Colombia
Cúcuta, Norte de Santander, Colombia
Ibagué, Tolima, Colombia
Armenia, Quindío, Colombia
Popayán, Cauca, Colombia
Sincelejo, Sucre, Colombia
Valledupar, Cesar, Colombia
Tunja, Boyacá, Colombia
Montería, Córdoba, Colombia
Riohacha, La Guajira, Colombia
Neiva, Huila, Colombia
Quibdó, Chocó, Colombia
